PrivateFrameworks/CommunicationsFilter : 3185
PrivateFrameworks/ConditionInducer : 386
PrivateFrameworks/ConfigProfileHelper : 90
PrivateFrameworks/ConfigurationEngineModel : 529
PrivateFrameworks/ConfigurationProfiles : 90
PrivateFrameworks/ConfigurationProfilesUI : 11
PrivateFrameworks/ConsoleKit : 93
PrivateFrameworks/ConstantClasses : 379
PrivateFrameworks/ContactsAgent : 423
PrivateFrameworks/ContactsAssistantServices : 290
PrivateFrameworks/ContactsAutocomplete : 16
PrivateFrameworks/ContactsAutocompleteUI : 16
PrivateFrameworks/ContactsDonation : 17
PrivateFrameworks/ContactsDonationFeedback : 17
PrivateFrameworks/ContactsUICore : 24
PrivateFrameworks/ContactsUIMacHelper : 31
PrivateFrameworks/ContentKit : 218
PrivateFrameworks/ContextKit : 158
PrivateFrameworks/ContextKitExtraction : 152
PrivateFrameworks/ControlCenter : 10
PrivateFrameworks/ConversationKit : 153
PrivateFrameworks/CoreADI : 231
PrivateFrameworks/CoreAUC : 39
PrivateFrameworks/CoreAVCHD : 3959
PrivateFrameworks/CoreAccessories : 29
PrivateFrameworks/CoreAnalytics : 275
PrivateFrameworks/CoreAppleCVA : 475
PrivateFrameworks/CoreAutoLayout : 87
PrivateFrameworks/CoreBrightness : 274
PrivateFrameworks/CoreCDP : 226
PrivateFrameworks/CoreCDPInternal : 226
PrivateFrameworks/CoreCDPUI : 226
PrivateFrameworks/CoreCapture : 669
PrivateFrameworks/CoreCaptureControl : 669
PrivateFrameworks/CoreCaptureDaemon : 669
PrivateFrameworks/CoreChart : 292
PrivateFrameworks/CoreChineseEngine : 176
PrivateFrameworks/CoreDAV : 216
PrivateFrameworks/CoreDaemon : 593
PrivateFrameworks/CoreDuet : 34
PrivateFrameworks/CoreDuetContext : 34
PrivateFrameworks/CoreDuetDaemonProtocol : 34
PrivateFrameworks/CoreDuetDataModel : 34
PrivateFrameworks/CoreDuetDebugLogging : 34
PrivateFrameworks/CoreDuetStatistics : 34
PrivateFrameworks/CoreDuetSync : 34
PrivateFrameworks/CoreEmoji : 316
PrivateFrameworks/CoreFollowUp : 176
PrivateFrameworks/CoreFollowUpUI : 176
PrivateFrameworks/CoreHandwriting : 381
PrivateFrameworks/CoreHapticsTools : 6191
PrivateFrameworks/CoreJapaneseEngine : 24
PrivateFrameworks/CoreKDL : 411
PrivateFrameworks/CoreKnowledge : 1544
PrivateFrameworks/CoreLSKD : 14
PrivateFrameworks/CoreLSKDMSE : 716
PrivateFrameworks/CoreLocationProtobuf : 86
PrivateFrameworks/CoreMaterial : 50
PrivateFrameworks/CoreNLP : 825
PrivateFrameworks/CoreNameParser : 2032
PrivateFrameworks/CoreNavigation : 96
PrivateFrameworks/CoreOptimization : 4005
PrivateFrameworks/CorePDF : 829
PrivateFrameworks/CoreParsec : 14
PrivateFrameworks/CorePhoneNumbers : 105
PrivateFrameworks/CorePrediction : 4005
PrivateFrameworks/CoreRC : 1055
PrivateFrameworks/CoreRE : 201
PrivateFrameworks/CoreRecents : 514
PrivateFrameworks/CoreRecognition : 442
PrivateFrameworks/CoreRoutine : 172
PrivateFrameworks/CoreSDB : 992
PrivateFrameworks/CoreSVG : 66
PrivateFrameworks/CoreServicesInternal : 34
PrivateFrameworks/CoreSpeech : 67
PrivateFrameworks/CoreSpotlightImportDaemon : 11
PrivateFrameworks/CoreSuggestions : 101
PrivateFrameworks/CoreSuggestionsInternals : 101
PrivateFrameworks/CoreSuggestionsML : 101
PrivateFrameworks/CoreSuggestionsUI : 101
PrivateFrameworks/CoreSymbolication : 401
PrivateFrameworks/CoreThemeDefinition : 30
PrivateFrameworks/CoreTime : 335
PrivateFrameworks/CoreUARP : 1
PrivateFrameworks/CoreUI : 42
PrivateFrameworks/CoreUtils : 72
PrivateFrameworks/CoreUtilsSwift : 4983
PrivateFrameworks/CoreUtilsUI : 56
PrivateFrameworks/CoreWiFi : 81
PrivateFrameworks/CreateML : 31
PrivateFrameworks/CryptoKitCBridging : 905
PrivateFrameworks/CryptoKitPrivate : 905
PrivateFrameworks/DAAPKit : 1274
PrivateFrameworks/DCERPC : 624
PrivateFrameworks/DCPDSBLib : 364
PrivateFrameworks/DFRBrightness : 274
PrivateFrameworks/DFRDisplay : 26
PrivateFrameworks/DFRFoundation : 33
PrivateFrameworks/DSExternalDisplay : 695
PrivateFrameworks/DTXConnectionServices : 482
PrivateFrameworks/DVD : 15430
PrivateFrameworks/DataDeliveryServices : 561
PrivateFrameworks/DataDetectors : 91
PrivateFrameworks/DataDetectorsCore : 40
PrivateFrameworks/DataDetectorsNaturalLanguage : 1887
PrivateFrameworks/DebugSymbols : 68
PrivateFrameworks/DeviceCheckInternal : 106
PrivateFrameworks/DeviceIdentity : 218
PrivateFrameworks/DeviceLink : 455
PrivateFrameworks/DeviceManagement : 529
PrivateFrameworks/DeviceToDeviceManager : 13697
PrivateFrameworks/DiagnosticExtensions : 564
PrivateFrameworks/DiagnosticExtensionsDaemon : 475
PrivateFrameworks/DiagnosticLogCollection : 81
PrivateFrameworks/DiagnosticRequest : 1
PrivateFrameworks/DiagnosticRequestService : 1
PrivateFrameworks/DiagnosticsKit : 3104
PrivateFrameworks/DialogEngine : 34
PrivateFrameworks/DifferentialPrivacy : 163
PrivateFrameworks/DigitalTouchShared : 10
PrivateFrameworks/DirectoryEditor : 680
PrivateFrameworks/DirectoryServer : 11980
PrivateFrameworks/DiskImages : 4871
PrivateFrameworks/DiskImages2 : 940
PrivateFrameworks/DisplayServices : 816
PrivateFrameworks/DisplayTransportServices : 2746
PrivateFrameworks/DistributedEvaluation : 579
PrivateFrameworks/DocumentCamera : 2438
PrivateFrameworks/DrawingKit : 241
PrivateFrameworks/DuetRecommendation : 34
PrivateFrameworks/DynamicDesktop : 12
PrivateFrameworks/EAP8021X : 2258
PrivateFrameworks/EFILogin : 15
PrivateFrameworks/EasyConfig : 72
PrivateFrameworks/Email : 12
PrivateFrameworks/EmailAddressing : 12
PrivateFrameworks/EmailCore : 12
PrivateFrameworks/EmailDaemon : 12
PrivateFrameworks/EmailFoundation : 12
PrivateFrameworks/EmbeddedAcousticRecognition : 151
PrivateFrameworks/EmbeddedOSInstall : 891
PrivateFrameworks/EmbeddedOSSupportHost : 566
PrivateFrameworks/EmbeddedSensingProtocols : 452
PrivateFrameworks/EmojiFoundation : 117
PrivateFrameworks/Engram : 81
PrivateFrameworks/Espresso : 74
PrivateFrameworks/ExchangeSync : 15
PrivateFrameworks/ExchangeWebServices : 225
PrivateFrameworks/ExpansionSlotSupport : 173
PrivateFrameworks/ExtensionFoundation : 18
PrivateFrameworks/ExtensionKit : 18
PrivateFrameworks/FMClient : 6677
PrivateFrameworks/FMCore : 31
PrivateFrameworks/FMCoreLite : 32
PrivateFrameworks/FMCoreUI : 9
PrivateFrameworks/FMF : 231
PrivateFrameworks/FMFCore : 31
PrivateFrameworks/FMFUI : 231
PrivateFrameworks/FMIPCore : 31
PrivateFrameworks/FTAWD : 81
PrivateFrameworks/FTClientServices : 30
PrivateFrameworks/FTServices : 30
PrivateFrameworks/FWAVC : 39
PrivateFrameworks/FaceCore : 243
PrivateFrameworks/FamilyCircle : 10
PrivateFrameworks/FamilyCircleUI : 10
PrivateFrameworks/FamilyControls : 320
PrivateFrameworks/FamilyNotification : 10
PrivateFrameworks/FeatureFlags : 753
PrivateFrameworks/FeatureFlagsSupport : 753
PrivateFrameworks/FeedbackLogger : 445
PrivateFrameworks/FileProvider : 12
PrivateFrameworks/FilesActionsUI : 356
PrivateFrameworks/FindMyDevice : 610
PrivateFrameworks/FindMyDeviceUI : 319
PrivateFrameworks/FindMyMac : 563
PrivateFrameworks/FinderKit : 19
PrivateFrameworks/FinderSyncPriv : 19
PrivateFrameworks/FlightUtilities : 754
PrivateFrameworks/FlightUtilitiesCore : 754
PrivateFrameworks/FolderActionsKit : 212
PrivateFrameworks/FontServices : 234
PrivateFrameworks/FoundInAppsPlugins : 69
PrivateFrameworks/FoundationODR : 80
PrivateFrameworks/FuseBoard : 37
PrivateFrameworks/FuseBoardServices : 45
PrivateFrameworks/FusionPluginKit : 105
PrivateFrameworks/FusionPluginServices : 105
PrivateFrameworks/Futhark : 1026
PrivateFrameworks/GPUInfo : 26
PrivateFrameworks/GPURawCounter : 1683
PrivateFrameworks/GPUSupport : 11
PrivateFrameworks/GPUWrangler : 8
PrivateFrameworks/GameCenterFoundation : 133
PrivateFrameworks/GameCenterUI : 133
PrivateFrameworks/GameCenterUICore : 133
PrivateFrameworks/GameKitServices : 185
PrivateFrameworks/GenerationalStorage : 1576
PrivateFrameworks/GeoKit : 19
PrivateFrameworks/GraphKit : 13881
PrivateFrameworks/GraphVisualizer : 4967
PrivateFrameworks/GraphicsServices : 3511
PrivateFrameworks/H10ISPServices : 156
PrivateFrameworks/HDAInterface : 1606
PrivateFrameworks/HDRProcessing : 91
PrivateFrameworks/HID : 206
PrivateFrameworks/HIDPreferences : 34
PrivateFrameworks/HMFoundation : 249
PrivateFrameworks/HTTPServer : 190
PrivateFrameworks/HearingCore : 23
PrivateFrameworks/HearingUtilities : 23
PrivateFrameworks/HeimODAdmin : 24
PrivateFrameworks/Heimdal : 136
PrivateFrameworks/Helium : 246
PrivateFrameworks/HelloWorldMacHelper : 45
PrivateFrameworks/HelpData : 2272
PrivateFrameworks/HomeAI : 78
PrivateFrameworks/HomeAutomationInternal : 102
PrivateFrameworks/IAP : 393
PrivateFrameworks/IASUtilities : 35
PrivateFrameworks/IDS : 30
PrivateFrameworks/IDSFoundation : 30
PrivateFrameworks/IDSHashPersistence : 134
PrivateFrameworks/IDSKVStore : 134
PrivateFrameworks/IDSSystemPreferencesSignIn : 30
PrivateFrameworks/IMAP : 13
PrivateFrameworks/IMAVCore : 2932
PrivateFrameworks/IMAssistantCore : 70
PrivateFrameworks/IMCore : 70
PrivateFrameworks/IMCorePipeline : 70
PrivateFrameworks/IMDMessageServices : 70
PrivateFrameworks/IMDPersistence : 70
PrivateFrameworks/IMDaemonCore : 70
PrivateFrameworks/IMFoundation : 81
PrivateFrameworks/IMSharedUI : 78
PrivateFrameworks/IMSharedUtilities : 70
PrivateFrameworks/IMTranscoderAgent : 70
PrivateFrameworks/IMTranscoding : 70
PrivateFrameworks/IMTransferAgent : 70
PrivateFrameworks/IMTransferServices : 81
PrivateFrameworks/IOAccelMemoryInfo : 643
PrivateFrameworks/IOAccelerator : 643
PrivateFrameworks/IOCEC : 17107
PrivateFrameworks/IOGPU : 930
PrivateFrameworks/IOImageLoader : 1938
PrivateFrameworks/IOKitten : 1453
PrivateFrameworks/IOMobileFramebuffer : 30
PrivateFrameworks/IOPlatformPluginFamily : 101
PrivateFrameworks/IOPresentment : 1
PrivateFrameworks/IOSurfaceAccelerator : 2381
PrivateFrameworks/ISSupport : 11835
PrivateFrameworks/IconFoundation : 23
PrivateFrameworks/IconServices : 23
PrivateFrameworks/IdleTimerServices : 1132
PrivateFrameworks/InAppMessages : 355
PrivateFrameworks/InAppMessagesCore : 1394
PrivateFrameworks/IncomingCallFilter : 3185
PrivateFrameworks/InertiaCam : 932
PrivateFrameworks/InputContext : 114
PrivateFrameworks/InputTranscoder : 801
PrivateFrameworks/InstallCoordination : 71
PrivateFrameworks/InstallerDiagnostics : 2370
PrivateFrameworks/IntentsCore : 381
PrivateFrameworks/IntentsFoundation : 381
PrivateFrameworks/IntentsServices : 381
PrivateFrameworks/InternalSwiftProtobuf : 2562
PrivateFrameworks/InternationalSupport : 630
PrivateFrameworks/InternationalTextSearch : 1032
PrivateFrameworks/InternetAccounts : 618
PrivateFrameworks/IntlPreferences : 562
PrivateFrameworks/JavaLaunching : 91
PrivateFrameworks/JavaScriptAppleEvents : 429
PrivateFrameworks/JavaScriptOSA : 253
PrivateFrameworks/Jet : 456
PrivateFrameworks/JetEngine : 72
PrivateFrameworks/JetUI : 74
PrivateFrameworks/KerberosHelper : 3927
PrivateFrameworks/KeyboardServices : 920
PrivateFrameworks/KnowledgeGraphKit : 59
PrivateFrameworks/KnowledgeMonitor : 204
PrivateFrameworks/LanguageModeling : 17
PrivateFrameworks/Lexicon : 537
PrivateFrameworks/LibraryRepair : 2470
PrivateFrameworks/LimitAdTracking : 20
PrivateFrameworks/LinguisticData : 225
PrivateFrameworks/LinkPresentation : 151
PrivateFrameworks/LocalAuthenticationRecoveryUI : 39
PrivateFrameworks/LocalAuthenticationUI : 39
PrivateFrameworks/LocationSupport : 31
PrivateFrameworks/LockoutUI : 5408
PrivateFrameworks/LoggingSupport : 103
PrivateFrameworks/LoginUIKit : 89
PrivateFrameworks/Lookup : 86
PrivateFrameworks/MDSChannel : 3710
PrivateFrameworks/MFAAuthentication : 29
PrivateFrameworks/MFiAuthentication : 393
PrivateFrameworks/MMCS : 756
PrivateFrameworks/MMCSServices : 70
PrivateFrameworks/MSUDataAccessor : 104
