Applications/Developer : 840.2.2
PrivateFrameworks/HIDPreferences : 29
PrivateFrameworks/HMFoundation : 967
PrivateFrameworks/HTTPServer : 858
PrivateFrameworks/HeimODAdmin : 322
PrivateFrameworks/Heimdal : 1104
PrivateFrameworks/Helium : 894
PrivateFrameworks/HelloWorldMacHelper : 252
PrivateFrameworks/HelpData : 601
PrivateFrameworks/HomeAI : 307
PrivateFrameworks/HomeAutomationInternal : 87
PrivateFrameworks/HomeKit : 36
PrivateFrameworks/HomeKitBackingStore : 36
PrivateFrameworks/HomeKitCore : 36
PrivateFrameworks/HomeKitDaemon : 36
PrivateFrameworks/IAP : 3058
PrivateFrameworks/IASUtilities : 46
PrivateFrameworks/IDS : 8
PrivateFrameworks/IDSFoundation : 8
PrivateFrameworks/IDSHashPersistence : 21
PrivateFrameworks/IDSKVStore : 21
PrivateFrameworks/IDSSystemPreferencesSignIn : 8
PrivateFrameworks/IMAVCore : 5008
PrivateFrameworks/IMFoundation : 996
PrivateFrameworks/IMTransferServices : 996
PrivateFrameworks/IOAccelMemoryInfo : 702
PrivateFrameworks/IOAccelerator : 702
PrivateFrameworks/IOCEC : 23011
PrivateFrameworks/IOGPU : 32
PrivateFrameworks/IOImageLoader : 3310
PrivateFrameworks/IOKitten : 3460
PrivateFrameworks/IOMobileFramebuffer : 10
PrivateFrameworks/IOPlatformPluginFamily : 1762
PrivateFrameworks/IOPresentment : 137
PrivateFrameworks/IOSurfaceAccelerator : 1282
PrivateFrameworks/ISSupport : 12470
PrivateFrameworks/IconFoundation : 81
PrivateFrameworks/IconServices : 81
PrivateFrameworks/IdleTimerServices : 1997
PrivateFrameworks/InAppMessages : 352
PrivateFrameworks/InAppMessagesCore : 1051
PrivateFrameworks/IncomingCallFilter : 5224
PrivateFrameworks/InertiaCam : 674
PrivateFrameworks/InputContext : 1924
PrivateFrameworks/InputTranscoder : 2364
PrivateFrameworks/InstallCoordination : 59
PrivateFrameworks/InstallerDiagnostics : 3006
PrivateFrameworks/InternalSwiftProtobuf : 1067
PrivateFrameworks/InternationalSupport : 514
PrivateFrameworks/InternationalTextSearch : 2270
PrivateFrameworks/InternetAccounts : 1317
PrivateFrameworks/IntlPreferences : 17
PrivateFrameworks/JavaLaunching : 568
PrivateFrameworks/JavaScriptAppleEvents : 1660
PrivateFrameworks/JavaScriptOSA : 887
PrivateFrameworks/Jet : 777
PrivateFrameworks/JetEngine : 8
PrivateFrameworks/JetUI : 8
PrivateFrameworks/KerberosHelper : 4576
PrivateFrameworks/KeyboardServices : 2168
PrivateFrameworks/KeychainCircle : 13
PrivateFrameworks/KnowledgeMonitor : 868
PrivateFrameworks/LanguageModeling : 455
PrivateFrameworks/Lexicon : 997
PrivateFrameworks/LibraryRepair : 3116
PrivateFrameworks/LimitAdTracking : 108
PrivateFrameworks/LinkPresentation : 312
PrivateFrameworks/LocalAuthenticationRecoveryUI : 11
PrivateFrameworks/LocalAuthenticationUI : 11
PrivateFrameworks/LockoutUI : 6671
PrivateFrameworks/LoggingSupport : 64
PrivateFrameworks/LoginUIKit : 7
PrivateFrameworks/Lookup : 323
PrivateFrameworks/MDSChannel : 4296
PrivateFrameworks/MFAAuthentication : 93
PrivateFrameworks/MFiAuthentication : 3058
PrivateFrameworks/MMCS : 1563
PrivateFrameworks/MSUDataAccessor : 149
PrivateFrameworks/MachineSettings : 6960
PrivateFrameworks/MallocStackLogging : 257
PrivateFrameworks/ManagedClient : 227
PrivateFrameworks/Mangrove : 2588
PrivateFrameworks/MapsSuggestions : 6
PrivateFrameworks/MapsSupport : 6
PrivateFrameworks/MapsSync : 5
PrivateFrameworks/Marco : 996
PrivateFrameworks/MaterialKit : 119
PrivateFrameworks/MediaConversionService : 12
PrivateFrameworks/MediaFoundation : 5
PrivateFrameworks/MediaKit : 1437
PrivateFrameworks/MediaRemote : 21
PrivateFrameworks/MediaServices : 5
PrivateFrameworks/MediaStream : 12
PrivateFrameworks/Memories : 2716
PrivateFrameworks/MessageProtection : 1435
PrivateFrameworks/MessageSecurity : 1223
PrivateFrameworks/MessagesBlastDoorSupport : 648
PrivateFrameworks/MetalSerializer : 25
PrivateFrameworks/MetricKitCore : 3202
PrivateFrameworks/MetricKitServices : 3202
PrivateFrameworks/MetricKitSource : 3202
PrivateFrameworks/MetricMeasurement : 3202
PrivateFrameworks/MiniSoftwareUpdate : 720
PrivateFrameworks/MobileAccessoryUpdater : 58
