Applications/GitHub Desktop : 2.3.1
Applications/Safari : 15609.1.15.3.11
PrivateFrameworks/ExchangeSync : 802
PrivateFrameworks/ExchangeWebServices : 24
PrivateFrameworks/ExpansionSlotSupport : 53
PrivateFrameworks/FMClient : 3399
PrivateFrameworks/FMCore : 648
PrivateFrameworks/FMCoreLite : 645
PrivateFrameworks/FMCoreUI : 1450
PrivateFrameworks/FMF : 1379
PrivateFrameworks/FMFCore : 96
PrivateFrameworks/FMFUI : 1379
PrivateFrameworks/FMIPCore : 96
PrivateFrameworks/FMNetworking : 97
PrivateFrameworks/FTAWD : 93
PrivateFrameworks/FWAVC : 388
PrivateFrameworks/FaceCore : 2525
PrivateFrameworks/FamilyCircle : 329
PrivateFrameworks/FamilyCircleUI : 329
PrivateFrameworks/FamilyControls : 86
PrivateFrameworks/FamilyNotification : 329
PrivateFrameworks/FeatureFlagsSupport : 5114
PrivateFrameworks/FileProviderDaemon : 7
PrivateFrameworks/FilesActionsUI : 1486
PrivateFrameworks/FindMyDevice : 26
PrivateFrameworks/FindMyDeviceUI : 622
PrivateFrameworks/FindMyMac : 710
PrivateFrameworks/FlightUtilities : 1110
PrivateFrameworks/FlowFrameKit : 39
PrivateFrameworks/FolderActionsKit : 1553
PrivateFrameworks/FontServices : 3541
PrivateFrameworks/FoundInAppsPlugins : 29
PrivateFrameworks/FrontBoardServices : 2852
PrivateFrameworks/Futhark : 1853
PrivateFrameworks/GPURawCounter : 1171
PrivateFrameworks/GPUSupport : 3126
PrivateFrameworks/GameCenterFoundation : 1043
PrivateFrameworks/GameCenterUI : 1043
PrivateFrameworks/GameCenterUICore : 1043
PrivateFrameworks/GameKitServices : 1089
PrivateFrameworks/GenerationalStorage : 855
PrivateFrameworks/GeoKit : 797
PrivateFrameworks/GeoServices : 12
PrivateFrameworks/GraphKit : 12690
PrivateFrameworks/GraphVisualizer : 3821
PrivateFrameworks/GraphicsServices : 4532
PrivateFrameworks/HDAInterface : 394
PrivateFrameworks/HDRProcessing : 170
PrivateFrameworks/HMFoundation : 20
PrivateFrameworks/HTTPServer : 1396
PrivateFrameworks/HearingCore : 65
PrivateFrameworks/HearingUtilities : 65
PrivateFrameworks/HeimODAdmin : 92
PrivateFrameworks/Heimdal : 308
PrivateFrameworks/Helium : 1002
PrivateFrameworks/HelloWorldMacHelper : 459
PrivateFrameworks/HelpData : 1118
PrivateFrameworks/HomeAI : 53
PrivateFrameworks/HomeKit : 14
PrivateFrameworks/HomeKitBackingStore : 14
PrivateFrameworks/HomeKitDaemon : 14
PrivateFrameworks/IAP : 5040
PrivateFrameworks/IMAVCore : 9751
PrivateFrameworks/IMAssistantCore : 18
PrivateFrameworks/IMCore : 18
PrivateFrameworks/IMDMessageServices : 18
PrivateFrameworks/IMDPersistence : 18
PrivateFrameworks/IMDaemonCore : 18
PrivateFrameworks/IMFoundation : 93
PrivateFrameworks/IMSharedUI : 239
PrivateFrameworks/IMSharedUtilities : 18
PrivateFrameworks/IMTranscoderAgent : 18
PrivateFrameworks/IMTranscoding : 18
PrivateFrameworks/IMTransferAgent : 18
PrivateFrameworks/IMTransferServices : 93
PrivateFrameworks/IOAccelMemoryInfo : 50
PrivateFrameworks/IOAccelerator : 50
PrivateFrameworks/IOImageLoader : 640
PrivateFrameworks/IOKitten : 2498
PrivateFrameworks/IOPlatformPluginFamily : 84
PrivateFrameworks/IOPresentment : 2439
PrivateFrameworks/ISSupport : 10693
PrivateFrameworks/IconServices : 220
PrivateFrameworks/IdleTimerServices : 7204
PrivateFrameworks/IncomingCallFilter : 907
PrivateFrameworks/InertiaCam : 169
PrivateFrameworks/InputContext : 7304
PrivateFrameworks/InputTranscoder : 1333
PrivateFrameworks/Install : 199
PrivateFrameworks/InstallerDiagnostics : 1254
PrivateFrameworks/Intents : 15
PrivateFrameworks/IntentsCore : 15
PrivateFrameworks/IntentsFoundation : 15
PrivateFrameworks/IntentsServices : 15
PrivateFrameworks/InternationalSupport : 266
PrivateFrameworks/InternationalTextSearch : 3214
PrivateFrameworks/InternetAccounts : 1150
PrivateFrameworks/IntlPreferences : 565
PrivateFrameworks/JavaApplicationLauncher : 1608
PrivateFrameworks/JavaLaunching : 1521
PrivateFrameworks/JavaScriptAppleEvents : 2762
PrivateFrameworks/JavaScriptOSA : 2599
PrivateFrameworks/Jet : 3258
PrivateFrameworks/JetEngine : 161
PrivateFrameworks/JetUI : 161
PrivateFrameworks/KerberosHelper : 2740
PrivateFrameworks/KeyboardServices : 13
PrivateFrameworks/KeychainCircle : 94
PrivateFrameworks/KnowledgeMonitor : 51
PrivateFrameworks/LanguageModeling : 1084
PrivateFrameworks/Lexicon : 4342
PrivateFrameworks/LibraryRepair : 1224
PrivateFrameworks/LimitAdTracking : 96
PrivateFrameworks/LinguisticData : 24
PrivateFrameworks/LinkPresentation : 254
PrivateFrameworks/LocalAuthenticationRecoveryUI : 66
PrivateFrameworks/LocalAuthenticationUI : 66
PrivateFrameworks/LocationSupport : 139
PrivateFrameworks/LockoutUI : 2573
PrivateFrameworks/LoggingSupport : 105
PrivateFrameworks/LoginUIKit : 67
PrivateFrameworks/Lookup : 769
PrivateFrameworks/MDSChannel : 2517
PrivateFrameworks/MFAAuthentication : 12
PrivateFrameworks/MFiAuthentication : 5040
PrivateFrameworks/MLFoundation : 439
PrivateFrameworks/MMCS : 72
PrivateFrameworks/MMCSServices : 18
PrivateFrameworks/MTLCompiler : 3
PrivateFrameworks/MTLSimImplementation : 3
PrivateFrameworks/MachineSettings : 5175
PrivateFrameworks/MallocStackLogging : 260
PrivateFrameworks/ManagedClient : 54
PrivateFrameworks/Mangrove : 816
PrivateFrameworks/MapsSuggestions : 1
PrivateFrameworks/Marco : 93
PrivateFrameworks/MarkupUI : 38
PrivateFrameworks/MediaControlSender : 66
PrivateFrameworks/MediaKit : 4818
PrivateFrameworks/MediaRemote : 14
PrivateFrameworks/MediaServices : 13
PrivateFrameworks/Memories : 8
PrivateFrameworks/MessageProtection : 501
PrivateFrameworks/MessageSecurity : 405
PrivateFrameworks/MessageUIMacHelper : 12
PrivateFrameworks/MetadataUtilities : 94
PrivateFrameworks/MetalTools : 3
PrivateFrameworks/MetricKitCore : 1082
PrivateFrameworks/MetricKitServices : 1082
PrivateFrameworks/MetricKitSource : 1082
PrivateFrameworks/MetricMeasurement : 1082
PrivateFrameworks/MiniSoftwareUpdate : 1749
PrivateFrameworks/MobileAccessoryUpdater : 44
PrivateFrameworks/MobileActivationMacOS : 19
PrivateFrameworks/MobileAsset : 1367
PrivateFrameworks/MobileAssetUpdater : 44
PrivateFrameworks/MobileBluetooth : 16
PrivateFrameworks/MobileDevice : 1
PrivateFrameworks/MobileIcons : 220
PrivateFrameworks/MobileKeyBag : 192
PrivateFrameworks/MonitorPanel : 99
PrivateFrameworks/Montreal : 570
PrivateFrameworks/MultitouchSupport : 394
PrivateFrameworks/MultiverseSupport : 1010
PrivateFrameworks/NLP : 3579
PrivateFrameworks/Navigation : 12
PrivateFrameworks/NetAppsUtilities : 5150
PrivateFrameworks/NetAuth : 78
PrivateFrameworks/NetFSServer : 531
PrivateFrameworks/Netrb : 292
PrivateFrameworks/NetworkServiceProxy : 3278
PrivateFrameworks/NetworkStatistics : 5124
PrivateFrameworks/Notes : 21
PrivateFrameworks/NotesShared : 21
PrivateFrameworks/NotesUI : 21
PrivateFrameworks/Noticeboard : 2425
PrivateFrameworks/NotificationCenterUI : 167
PrivateFrameworks/OAuth : 18472
PrivateFrameworks/OSAServicesClient : 191
PrivateFrameworks/OSASubmissionClient : 203
PrivateFrameworks/OSASyncProxyClient : 203
PrivateFrameworks/OSAnalytics : 191
PrivateFrameworks/OSAnalyticsPrivate : 203
PrivateFrameworks/OSD : 2323
PrivateFrameworks/OSInstaller : 189
PrivateFrameworks/OSPersonalization : 1432
PrivateFrameworks/OSUpdate : 211
PrivateFrameworks/OTSVG : 69
PrivateFrameworks/OfficeImport : 1465
PrivateFrameworks/OnBoardingKit : 52
PrivateFrameworks/OpenDirectoryConfig : 13606
PrivateFrameworks/OpenDirectoryConfigUI : 1675
PrivateFrameworks/Osprey : 12
PrivateFrameworks/PASampling : 927
PrivateFrameworks/PDFKit : 13
PrivateFrameworks/PIP : 879
PrivateFrameworks/PSNormalizer : 947
PrivateFrameworks/PackageKit : 141
PrivateFrameworks/PacketFilter : 1007
PrivateFrameworks/ParsecModel : 54
PrivateFrameworks/ParsecSubscriptionServiceSupport : 54
PrivateFrameworks/ParsecUI : 88
PrivateFrameworks/PassKitUI : 1784
PrivateFrameworks/PassKitUIFoundation : 5
PrivateFrameworks/PasswordServer : 7837
PrivateFrameworks/PencilKit : 22
PrivateFrameworks/PeopleSuggester : 20
PrivateFrameworks/PerformanceAnalysis : 927
PrivateFrameworks/PersistentConnection : 559
PrivateFrameworks/PersonaKit : 219
PrivateFrameworks/PersonaUI : 219
PrivateFrameworks/PersonalizationPortrait : 29
PrivateFrameworks/PersonalizationPortraitInternals : 29
PrivateFrameworks/PhotoPrintProduct : 1154
PrivateFrameworks/PhysicsKit : 3527
PrivateFrameworks/PlugInKit : 844
PrivateFrameworks/PodcastServices : 12
PrivateFrameworks/PodcastsFoundation : 67
PrivateFrameworks/PowerLog : 15
PrivateFrameworks/PowerlogLiteOperators : 15
PrivateFrameworks/PreferencePanesSupport : 736
PrivateFrameworks/PrintKit : 3488
PrivateFrameworks/PrintingPrivate : 668
PrivateFrameworks/PrivateFederatedLearning : 302
PrivateFrameworks/ProVideo : 1194
PrivateFrameworks/ProactiveEventTracker : 542
PrivateFrameworks/ProactiveExperiments : 24
PrivateFrameworks/ProactiveExperimentsInternals : 24
