Applications/AltTab : 6.12.0
PrivateFrameworks/IOMobileFramebuffer : 4
PrivateFrameworks/IOPlatformPluginFamily : 1835
PrivateFrameworks/IOPresentment : 209
PrivateFrameworks/IOSurfaceAccelerator : 1387
PrivateFrameworks/ISSupport : 12525
PrivateFrameworks/IconFoundation : 108
PrivateFrameworks/IconServices : 108
PrivateFrameworks/IdleTimerServices : 2044
PrivateFrameworks/InAppMessages : 426
PrivateFrameworks/InAppMessagesCore : 1314
PrivateFrameworks/IncomingCallFilter : 5473
PrivateFrameworks/InertiaCam : 725
PrivateFrameworks/InputContext : 2025
PrivateFrameworks/InputTranscoder : 2467
PrivateFrameworks/Install : 513
PrivateFrameworks/InstallerDiagnostics : 3061
PrivateFrameworks/InternalSwiftProtobuf : 1325
PrivateFrameworks/InternationalSupport : 543
PrivateFrameworks/InternationalTextSearch : 2416
PrivateFrameworks/InternetAccounts : 1377
PrivateFrameworks/IntlPreferences : 20
PrivateFrameworks/JavaLaunching : 6
PrivateFrameworks/JavaScriptAppleEvents : 1900
PrivateFrameworks/JavaScriptOSA : 943
PrivateFrameworks/Jet : 788
PrivateFrameworks/JetEngine : 19
PrivateFrameworks/JetUI : 19
PrivateFrameworks/KerberosHelper : 4630
PrivateFrameworks/KeyboardServices : 2320
PrivateFrameworks/KnowledgeGraphKit : 136
PrivateFrameworks/KnowledgeMonitor : 898
PrivateFrameworks/LanguageModeling : 484
PrivateFrameworks/Lexicon : 1114
PrivateFrameworks/LibraryRepair : 3172
PrivateFrameworks/LimitAdTracking : 111
PrivateFrameworks/LinguisticData : 322
PrivateFrameworks/LinkPresentation : 414
PrivateFrameworks/LocalAuthenticationRecoveryUI : 20
PrivateFrameworks/LocalAuthenticationUI : 20
PrivateFrameworks/LockoutUI : 6824
PrivateFrameworks/LoginUIKit : 21
PrivateFrameworks/Lookup : 346
PrivateFrameworks/MDSChannel : 4299
PrivateFrameworks/MFAAuthentication : 13
PrivateFrameworks/MFiAuthentication : 3233
PrivateFrameworks/MMCS : 1586
PrivateFrameworks/MMCSServices : 39
PrivateFrameworks/MSUDataAccessor : 65
PrivateFrameworks/MTLCompiler : 28
PrivateFrameworks/MTLSimImplementation : 28
PrivateFrameworks/MachineSettings : 7014
PrivateFrameworks/MallocStackLogging : 277
PrivateFrameworks/ManagedClient : 268
PrivateFrameworks/Mangrove : 2643
PrivateFrameworks/MapsSync : 8
PrivateFrameworks/Marco : 1042
PrivateFrameworks/MarkupUI : 679
PrivateFrameworks/MaterialKit : 131
PrivateFrameworks/MediaControlSender : 275
PrivateFrameworks/MediaConversionService : 117
PrivateFrameworks/MediaFoundation : 8
PrivateFrameworks/MediaKit : 1556
