Applications/GitHub Desktop : 2.5.6
Applications/Safari : 16610.2.6.1.6
PrivateFrameworks/AutoBugCaptureCore : 90
PrivateFrameworks/AutoLoop : 3701
PrivateFrameworks/BackBoardServices : 120
PrivateFrameworks/BackgroundTaskManagement : 139
PrivateFrameworks/Backup : 17
PrivateFrameworks/BaseBoard : 112
PrivateFrameworks/BatteryUIKit : 293
PrivateFrameworks/BehaviorMiner : 35
PrivateFrameworks/BezelServices : 881
PrivateFrameworks/BioKitAggD : 12634
PrivateFrameworks/BiomeFoundation : 493
PrivateFrameworks/BiomePubSub : 493
PrivateFrameworks/BiomeStorage : 493
PrivateFrameworks/BiomeStreams : 493
PrivateFrameworks/BiometricKit : 298
PrivateFrameworks/BiometricKitUI : 19
PrivateFrameworks/BiometricSupport : 175
PrivateFrameworks/BlastDoor : 104
PrivateFrameworks/BluetoothManager : 2
PrivateFrameworks/BoardServices : 112
PrivateFrameworks/Bom : 1590
PrivateFrameworks/BookCoverUtility : 184
PrivateFrameworks/BookKit : 184
PrivateFrameworks/BookKitFoundation : 184
PrivateFrameworks/BookUtility : 184
PrivateFrameworks/Bootability : 23
PrivateFrameworks/BridgeOSInstall : 24
PrivateFrameworks/BridgeOSInstallReporting : 24
PrivateFrameworks/BridgeOSObliteration : 56
PrivateFrameworks/BridgeOSSoftwareUpdate : 1814
PrivateFrameworks/BridgeXPC : 4363
PrivateFrameworks/BulkSymbolication : 61
PrivateFrameworks/ByteRangeLocking : 3755
PrivateFrameworks/C2 : 928
PrivateFrameworks/CMCapture : 117
PrivateFrameworks/CMCaptureCore : 97
PrivateFrameworks/CPAnalytics : 222
PrivateFrameworks/CPMLBestShim : 4276
PrivateFrameworks/CPMS : 181
PrivateFrameworks/CSCSupport : 78
PrivateFrameworks/CVNLP : 497
PrivateFrameworks/CacheDelete : 203
PrivateFrameworks/CalDAV : 281
PrivateFrameworks/Calculate : 127
PrivateFrameworks/CalendarAgent : 87
PrivateFrameworks/CalendarAgentLink : 148
PrivateFrameworks/CalendarDraw : 166
PrivateFrameworks/CalendarNotification : 17
PrivateFrameworks/CalendarPersistence : 19
PrivateFrameworks/CalendarUIKit : 15
PrivateFrameworks/CalendarWidget : 41
PrivateFrameworks/CallHistory : 54
PrivateFrameworks/CameraImagingFramework : 5978
PrivateFrameworks/CaptiveNetwork : 185
PrivateFrameworks/CardKit : 50
PrivateFrameworks/CardServices : 50
PrivateFrameworks/Cards : 50
PrivateFrameworks/Catalyst : 3227
PrivateFrameworks/Categories : 214
PrivateFrameworks/ChronoKit : 54
PrivateFrameworks/ChronoServices : 54
PrivateFrameworks/ChronoUIServices : 43
PrivateFrameworks/ChunkingLibrary : 1450
PrivateFrameworks/ClassKit : 18
PrivateFrameworks/ClassKitUI : 18
PrivateFrameworks/ClassroomKit : 17
PrivateFrameworks/ClockMenuExtraPreferences : 147
PrivateFrameworks/CloudDocs : 32
PrivateFrameworks/CloudFamilyRestrictions : 342
PrivateFrameworks/CloudFamilyRestrictionsDaemon : 342
PrivateFrameworks/CloudKitCode : 1235
PrivateFrameworks/CloudKitCodeProtobuf : 1235
PrivateFrameworks/CloudKitDaemon : 449
PrivateFrameworks/CloudPhotoLibrary : 222
PrivateFrameworks/CloudPhotoServices : 222
PrivateFrameworks/CloudPhotoServicesConfiguration : 222
PrivateFrameworks/CloudServices : 33
PrivateFrameworks/Coherence : 4417
PrivateFrameworks/CombineCocoa : 60
PrivateFrameworks/CommerceKit : 15
PrivateFrameworks/CommonAuth : 53
PrivateFrameworks/CommonUtilities : 1237
PrivateFrameworks/CommunicationsFilter : 3429
PrivateFrameworks/ConditionInducer : 630
PrivateFrameworks/ConfigProfileHelper : 19
PrivateFrameworks/ConfigurationEngineModel : 807
PrivateFrameworks/ConfigurationProfiles : 19
PrivateFrameworks/ConfigurationProfilesUI : 18
PrivateFrameworks/ConsoleKit : 32
PrivateFrameworks/ConstantClasses : 445
