Applications/AltTab : 2.3.4
PrivateFrameworks/CPAnalytics : 18
PrivateFrameworks/CPMLBestShim : 7227
PrivateFrameworks/CSCSupport : 271
PrivateFrameworks/CacheDelete : 22
PrivateFrameworks/CalDAV : 479
PrivateFrameworks/Calculate : 960
PrivateFrameworks/CalendarAgentLink : 866
PrivateFrameworks/CalendarDraw : 948
PrivateFrameworks/CalendarFoundation : 13
PrivateFrameworks/CalendarNotification : 590
PrivateFrameworks/CalendarPersistence : 18
PrivateFrameworks/CalendarUI : 194
PrivateFrameworks/CalendarUIKit : 475
PrivateFrameworks/CallHistory : 25
PrivateFrameworks/CameraImagingFramework : 4984
PrivateFrameworks/CaptiveNetwork : 304
PrivateFrameworks/CardKit : 287
PrivateFrameworks/CardServices : 287
PrivateFrameworks/Cards : 287
PrivateFrameworks/Catalyst : 1451
PrivateFrameworks/Categories : 748
PrivateFrameworks/CharacterPicker : 666
PrivateFrameworks/ChunkingLibrary : 242
PrivateFrameworks/ClassroomKit : 847
PrivateFrameworks/ClockMenuExtraPreferences : 1319
PrivateFrameworks/CloudDocs : 34
PrivateFrameworks/CloudDocsDaemon : 19
PrivateFrameworks/CloudFamilyRestrictions : 1584
PrivateFrameworks/CloudFamilyRestrictionsDaemon : 1584
PrivateFrameworks/CloudKitCode : 223
PrivateFrameworks/CloudKitCodeProtobuf : 223
PrivateFrameworks/CloudKitDaemon : 100
PrivateFrameworks/CloudPhotoLibrary : 18
PrivateFrameworks/CloudPhotoServices : 18
PrivateFrameworks/CloudPhotoServicesConfiguration : 18
PrivateFrameworks/CloudServices : 168
PrivateFrameworks/Coherence : 8472
PrivateFrameworks/CombineCocoa : 514
PrivateFrameworks/CommerceKit : 12
PrivateFrameworks/CommonAuth : 559
PrivateFrameworks/CommonCandidateWindow : 11119
PrivateFrameworks/CommonUtilities : 7067
PrivateFrameworks/CommunicationsFilter : 1088
PrivateFrameworks/ConditionInducer : 4984
PrivateFrameworks/ConfigProfileHelper : 14
PrivateFrameworks/ConfigurationEngineModel : 95
PrivateFrameworks/ConfigurationProfiles : 14
PrivateFrameworks/ConfigurationProfilesUI : 13
PrivateFrameworks/ConsoleKit : 597
PrivateFrameworks/ConstantClasses : 2543
PrivateFrameworks/ContactsAgent : 1586
PrivateFrameworks/ContactsAssistantServices : 2252
PrivateFrameworks/ContactsAutocomplete : 976
PrivateFrameworks/ContactsAutocompleteUI : 309
PrivateFrameworks/ContactsDonation : 2488
PrivateFrameworks/ContactsDonationFeedback : 2488
PrivateFrameworks/ContactsFoundation : 142
PrivateFrameworks/ContactsPersistence : 6
PrivateFrameworks/ContactsUICore : 13
PrivateFrameworks/ContextKit : 1429
PrivateFrameworks/ConversationKit : 33
PrivateFrameworks/CoreADI : 2851
PrivateFrameworks/CoreAUC : 746
PrivateFrameworks/CoreAVCHD : 2999
PrivateFrameworks/CoreAccessories : 16
PrivateFrameworks/CoreAnalytics : 144
PrivateFrameworks/CoreAppleCVA : 963
PrivateFrameworks/CoreBrightness : 264
PrivateFrameworks/CoreCapture : 434
PrivateFrameworks/CoreCaptureControl : 434
PrivateFrameworks/CoreCaptureDaemon : 434
PrivateFrameworks/CoreChart : 27
PrivateFrameworks/CoreChineseEngine : 1740
PrivateFrameworks/CoreDAV : 212
PrivateFrameworks/CoreDaemon : 2093
PrivateFrameworks/CoreDuet : 45
PrivateFrameworks/CoreDuetContext : 45
PrivateFrameworks/CoreDuetDaemonProtocol : 45
PrivateFrameworks/CoreDuetDataModel : 45
PrivateFrameworks/CoreDuetDebugLogging : 45
PrivateFrameworks/CoreDuetStatistics : 45
PrivateFrameworks/CoreDuetSync : 45
PrivateFrameworks/CoreEmoji : 2645
PrivateFrameworks/CoreFP : 12
PrivateFrameworks/CoreFollowUp : 1536
PrivateFrameworks/CoreFollowUpUI : 1536
PrivateFrameworks/CoreHAP : 31
PrivateFrameworks/CoreHandwriting : 1165
PrivateFrameworks/CoreKE : 5
PrivateFrameworks/CoreKnowledge : 796
PrivateFrameworks/CoreLSKD : 42
PrivateFrameworks/CoreLSKDMSE : 123
PrivateFrameworks/CoreMLTestFramework : 276
PrivateFrameworks/CoreMaterial : 1043
PrivateFrameworks/CoreMediaStream : 18
PrivateFrameworks/CoreNLP : 2030
PrivateFrameworks/CoreNameParser : 5086
PrivateFrameworks/CoreNavigation : 300
PrivateFrameworks/CoreOptimization : 7227
PrivateFrameworks/CorePDF : 512
PrivateFrameworks/CoreParsec : 236
PrivateFrameworks/CorePhoneNumbers : 24
PrivateFrameworks/CorePrediction : 7227
PrivateFrameworks/CoreRE : 27
PrivateFrameworks/CoreRecents : 3681
PrivateFrameworks/CoreRecognition : 259
PrivateFrameworks/CoreRoutine : 19
PrivateFrameworks/CoreSDB : 4144
PrivateFrameworks/CoreSVG : 3600
PrivateFrameworks/CoreServicesInternal : 173
PrivateFrameworks/CoreServicesStore : 36
PrivateFrameworks/CoreSpeech : 108
PrivateFrameworks/CoreSpotlightImportDaemon : 10
PrivateFrameworks/CoreSymbolication : 765
PrivateFrameworks/CoreThemeDefinition : 461
PrivateFrameworks/CoreTime : 221
PrivateFrameworks/CoreUI : 540
PrivateFrameworks/CoreUtils : 21
PrivateFrameworks/CoreUtilsSwift : 4052
PrivateFrameworks/CoreUtilsUI : 13
PrivateFrameworks/CoreWLANKit : 43
PrivateFrameworks/CoreWiFi : 496
PrivateFrameworks/CrashReporterSupport : 67
PrivateFrameworks/CreateML : 319
PrivateFrameworks/CryptoKitCBridging : 776
PrivateFrameworks/CryptoKitPrivate : 776
PrivateFrameworks/DAAPKit : 29
PrivateFrameworks/DASDaemon : 60
PrivateFrameworks/DCERPC : 2513
PrivateFrameworks/DCIMServices : 18
PrivateFrameworks/DFRBrightness : 264
PrivateFrameworks/DFRDisplay : 2523
PrivateFrameworks/DFRFoundation : 749
PrivateFrameworks/DSExternalDisplay : 491
PrivateFrameworks/DTXConnectionServices : 978
PrivateFrameworks/DVD : 14447
PrivateFrameworks/DataDeliveryServices : 216
PrivateFrameworks/DataDetectors : 37
PrivateFrameworks/DataDetectorsCore : 5542
PrivateFrameworks/DataDetectorsNaturalLanguage : 2123
PrivateFrameworks/DebugSymbols : 3657
PrivateFrameworks/DesktopServicesPriv : 41
PrivateFrameworks/DeviceCheckInternal : 8670
PrivateFrameworks/DeviceIdentity : 41
PrivateFrameworks/DeviceLink : 692
PrivateFrameworks/DeviceManagement : 95
PrivateFrameworks/DeviceToDeviceManager : 9431
PrivateFrameworks/DiagnosticExtensions : 3434
PrivateFrameworks/DiagnosticLogCollection : 196
PrivateFrameworks/DialogEngine : 23
PrivateFrameworks/DifferentialPrivacy : 202
PrivateFrameworks/DigitalTouchShared : 4325
PrivateFrameworks/DirectoryEditor : 973
PrivateFrameworks/DirectoryServer : 11039
PrivateFrameworks/DiskImages : 1148
PrivateFrameworks/DiskManagement : 261
PrivateFrameworks/DisplayServices : 517
PrivateFrameworks/DisplayTransportServices : 1819
PrivateFrameworks/DistributedEvaluation : 556
PrivateFrameworks/DrawingKit : 185
PrivateFrameworks/DuetActivityScheduler : 60
PrivateFrameworks/DuetRecommendation : 45
PrivateFrameworks/DynamicDesktop : 90
PrivateFrameworks/EAFirmwareUpdater : 84
PrivateFrameworks/EAP8021X : 1807
PrivateFrameworks/EFILogin : 1122
PrivateFrameworks/EasyConfig : 21
PrivateFrameworks/Email : 11
PrivateFrameworks/EmailAddressing : 11
PrivateFrameworks/EmailCore : 11
PrivateFrameworks/EmailDaemon : 11
PrivateFrameworks/EmailFoundation : 11
PrivateFrameworks/EmbeddedAcousticRecognition : 40
PrivateFrameworks/EmbeddedOSInstall : 2648
PrivateFrameworks/EmbeddedOSSupportHost : 307
PrivateFrameworks/EmbeddedSensingProtocols : 7508
PrivateFrameworks/EmojiFoundation : 236
PrivateFrameworks/Engram : 196
PrivateFrameworks/Espresso : 5999
PrivateFrameworks/ExchangeSync : 96
PrivateFrameworks/ExchangeWebServices : 43
PrivateFrameworks/ExpansionSlotSupport : 129
PrivateFrameworks/FMClient : 3724
PrivateFrameworks/FMCore : 1276
PrivateFrameworks/FMCoreLite : 1259
PrivateFrameworks/FMCoreUI : 1932
PrivateFrameworks/FMF : 1552
PrivateFrameworks/FMFCore : 74
PrivateFrameworks/FMFUI : 1552
PrivateFrameworks/FMIPCore : 74
PrivateFrameworks/FMNetworking : 176
PrivateFrameworks/FTAWD : 196
PrivateFrameworks/FWAVC : 514
PrivateFrameworks/FaceCore : 2738
PrivateFrameworks/FamilyCircle : 542
PrivateFrameworks/FamilyCircleUI : 542
PrivateFrameworks/FamilyControls : 152
PrivateFrameworks/FamilyNotification : 542
PrivateFrameworks/FeatureFlagsSupport : 5368
PrivateFrameworks/FileProvider : 27
PrivateFrameworks/FileProviderDaemon : 27
PrivateFrameworks/FilesActionsUI : 124
PrivateFrameworks/FindMyDevice : 9
PrivateFrameworks/FindMyDeviceUI : 115
PrivateFrameworks/FindMyMac : 928
PrivateFrameworks/FlightUtilities : 1373
PrivateFrameworks/FlowFrameKit : 63
PrivateFrameworks/FolderActionsKit : 1798
PrivateFrameworks/FontServices : 3617
PrivateFrameworks/FoundInAppsPlugins : 28
PrivateFrameworks/FrontBoardServices : 206
PrivateFrameworks/Futhark : 2005
PrivateFrameworks/GPURawCounter : 1251
PrivateFrameworks/GPUSupport : 3380
PrivateFrameworks/GPUWrangler : 9
PrivateFrameworks/GameCenterFoundation : 2200
PrivateFrameworks/GameCenterUI : 2200
PrivateFrameworks/GameCenterUICore : 2200
PrivateFrameworks/GameKitServices : 82
PrivateFrameworks/GenerationalStorage : 1668
PrivateFrameworks/GeoKit : 1039
PrivateFrameworks/GeoServices : 25
PrivateFrameworks/Geode : 16
PrivateFrameworks/GraphKit : 12904
PrivateFrameworks/GraphVisualizer : 4039
PrivateFrameworks/GraphicsServices : 5054
PrivateFrameworks/HDAInterface : 615
PrivateFrameworks/HDRProcessing : 21
PrivateFrameworks/HID : 6
