Applications/DB Browser for SQLite : 3.10.1
Applications/Discord : 0.0.255
PrivateFrameworks/HomeKit : 12
PrivateFrameworks/HomeKitBackingStore : 12
PrivateFrameworks/HomeKitDaemon : 12
PrivateFrameworks/IAP : 597
PrivateFrameworks/IASUtilities : 88
PrivateFrameworks/IDSHashPersistence : 44
PrivateFrameworks/IDSKVStore : 44
PrivateFrameworks/IMAP : 8
PrivateFrameworks/IMAssistantCore : 1
PrivateFrameworks/IMCore : 1
PrivateFrameworks/IMDMessageServices : 1
PrivateFrameworks/IMDPersistence : 1
PrivateFrameworks/IMDaemonCore : 1
PrivateFrameworks/IMFoundation : 39
PrivateFrameworks/IMSharedUtilities : 1
PrivateFrameworks/IMTranscoderAgent : 1
PrivateFrameworks/IMTranscoding : 1
PrivateFrameworks/IMTransferServices : 39
PrivateFrameworks/IOAccelMemoryInfo : 2
PrivateFrameworks/IOAccelerator : 2
PrivateFrameworks/IOImageLoader : 1636
PrivateFrameworks/IOPlatformPluginFamily : 390
PrivateFrameworks/IOPresentment : 1658
PrivateFrameworks/IconServices : 6
PrivateFrameworks/Intents : 22
PrivateFrameworks/IntentsCore : 22
PrivateFrameworks/IntentsFoundation : 22
PrivateFrameworks/IntentsServices : 22
PrivateFrameworks/IntlPreferences : 34
PrivateFrameworks/JetEngine : 122
PrivateFrameworks/JetUI : 122
PrivateFrameworks/KerberosHelper : 1740
PrivateFrameworks/KeychainCircle : 59
PrivateFrameworks/KnowledgeGraphKit : 1
PrivateFrameworks/KnowledgeMonitor : 11
PrivateFrameworks/LanguageModeling : 13
PrivateFrameworks/Lexicon : 13
PrivateFrameworks/LinguisticData : 31
PrivateFrameworks/LinkPresentation : 24
PrivateFrameworks/LocalAuthenticationRecoveryUI : 69
PrivateFrameworks/LocalAuthenticationUI : 69
PrivateFrameworks/LocationSupport : 11
PrivateFrameworks/LoggingSupport : 19
PrivateFrameworks/LoginUIKit : 296
PrivateFrameworks/Lookup : 6
PrivateFrameworks/MDSChannel : 1524
PrivateFrameworks/MFAAuthentication : 11
PrivateFrameworks/MFiAuthentication : 597
PrivateFrameworks/MMCS : 10
PrivateFrameworks/MMCSServices : 1
PrivateFrameworks/Mail : 8
PrivateFrameworks/MailCore : 8
PrivateFrameworks/MailService : 8
PrivateFrameworks/MailSupport : 70
PrivateFrameworks/MailUI : 8
PrivateFrameworks/MailWebProcessSupport : 70
PrivateFrameworks/MallocStackLogging : 561
PrivateFrameworks/ManagedClient : 8
PrivateFrameworks/Mangrove : 3482
PrivateFrameworks/MapsSuggestions : 9
PrivateFrameworks/MapsSupport : 9
PrivateFrameworks/Marco : 39
PrivateFrameworks/MarkupUI : 26
PrivateFrameworks/MediaConversionService : 1
PrivateFrameworks/MediaExperience : 6
PrivateFrameworks/MediaKit : 725
PrivateFrameworks/MediaMiningKit : 1
PrivateFrameworks/MediaRemote : 4
PrivateFrameworks/MediaServices : 4
PrivateFrameworks/MediaStream : 1
PrivateFrameworks/Memories : 6
PrivateFrameworks/MessageProtection : 18
PrivateFrameworks/MessageUIMacHelper : 8
PrivateFrameworks/MessagesHelperKit : 119
PrivateFrameworks/MessagesKit : 119
PrivateFrameworks/MetadataUtilities : 1
PrivateFrameworks/MetricKitCore : 59
PrivateFrameworks/MetricKitServices : 59
PrivateFrameworks/MetricKitSource : 59
PrivateFrameworks/MetricMeasurement : 59
PrivateFrameworks/MiniSoftwareUpdate : 645
PrivateFrameworks/MobileAccessoryUpdater : 72
PrivateFrameworks/MobileActivationMacOS : 29
PrivateFrameworks/MobileAsset : 6
PrivateFrameworks/MobileAssetUpdater : 24
PrivateFrameworks/MobileBluetooth : 28
PrivateFrameworks/MobileDevice : 26
PrivateFrameworks/MobileIcons : 6
PrivateFrameworks/MobileKeyBag : 80
PrivateFrameworks/Mondrian : 1
PrivateFrameworks/MultitouchSupport : 11
PrivateFrameworks/MultiverseSupport : 1165
PrivateFrameworks/MusicLibrary : 4
PrivateFrameworks/NLP : 10
PrivateFrameworks/Navigation : 10
PrivateFrameworks/NearField : 64
PrivateFrameworks/NetAppsUtilities : 52
PrivateFrameworks/NetAuth : 217
PrivateFrameworks/Netrb : 201
PrivateFrameworks/Network : 4
PrivateFrameworks/NetworkServiceProxy : 558
PrivateFrameworks/NeutrinoCore : 1
PrivateFrameworks/NeutrinoKit : 1
PrivateFrameworks/NotificationCenterUI : 6
PrivateFrameworks/OSAServicesClient : 227
PrivateFrameworks/OSASubmissionClient : 231
PrivateFrameworks/OSASyncProxyClient : 231
PrivateFrameworks/OSAnalytics : 227
PrivateFrameworks/OSAnalyticsPrivate : 231
PrivateFrameworks/OSInstaller : 12
PrivateFrameworks/OSPersonalization : 449
PrivateFrameworks/OSUpdate : 12
PrivateFrameworks/OTSVG : 44
PrivateFrameworks/OnBoardingKit : 25
PrivateFrameworks/OpenDirectoryConfig : 12668
PrivateFrameworks/PAImaging : 1
PrivateFrameworks/PAImagingCore : 1
PrivateFrameworks/PDFKit : 7
PrivateFrameworks/PIP : 10
PrivateFrameworks/PSNormalizer : 17
PrivateFrameworks/PackageKit : 6
PrivateFrameworks/PacketFilter : 225
PrivateFrameworks/ParsecUI : 1
PrivateFrameworks/PassKit : 18
PrivateFrameworks/PassKitCore : 17
PrivateFrameworks/PassKitUI : 8
PrivateFrameworks/PassKitUIFoundation : 14
PrivateFrameworks/PencilKit : 20
PrivateFrameworks/PeopleSuggester : 2
PrivateFrameworks/PersistentConnection : 30
PrivateFrameworks/PersonalizationPortrait : 22
PrivateFrameworks/PersonalizationPortraitInternals : 22
PrivateFrameworks/PhoneNumbers : 16
PrivateFrameworks/PhotoAnalysis : 1
PrivateFrameworks/PhotoFoundation : 1
PrivateFrameworks/PhotoImaging : 1
PrivateFrameworks/PhotoLibrary : 1
PrivateFrameworks/PhotoLibraryServices : 1
PrivateFrameworks/PhotoPrintProduct : 8
PrivateFrameworks/PhotoVision : 1
PrivateFrameworks/PhotosFormats : 1
PrivateFrameworks/PhotosGraph : 1
PrivateFrameworks/PhotosImagingFoundation : 1
PrivateFrameworks/PhotosPlayer : 1
PrivateFrameworks/PhotosUICore : 1
PrivateFrameworks/PipelineKit : 1
PrivateFrameworks/PlacesKit : 1
PrivateFrameworks/PlugInKit : 21
PrivateFrameworks/PodcastServices : 11
PrivateFrameworks/PowerLog : 11
PrivateFrameworks/PowerlogControl : 11
