Applications/Discord : 0.0.260
PrivateFrameworks/DeviceLink : 2645
PrivateFrameworks/DeviceManagement : 1769
PrivateFrameworks/DeviceToDeviceManager : 15877
PrivateFrameworks/DiagnosticExtensions : 2425
PrivateFrameworks/DiagnosticExtensionsDaemon : 103
PrivateFrameworks/DiagnosticLogCollection : 960
PrivateFrameworks/DiagnosticRequest : 1742
PrivateFrameworks/DiagnosticRequestService : 2028
PrivateFrameworks/DiagnosticsKit : 1860
PrivateFrameworks/DifferentialPrivacy : 133
PrivateFrameworks/DigitalTouchShared : 744
PrivateFrameworks/DirectoryEditor : 1303
PrivateFrameworks/DirectoryServer : 12579
PrivateFrameworks/DiskImages : 746
PrivateFrameworks/DiskImages2 : 4108
PrivateFrameworks/DiskManagement : 244
PrivateFrameworks/DiskSpaceDiagnostics : 719
PrivateFrameworks/DisplayServices : 1537
PrivateFrameworks/DisplayTransportServices : 3346
PrivateFrameworks/DistributedEvaluation : 2600
PrivateFrameworks/DocumentCamera : 5398
PrivateFrameworks/DrawingKit : 421
PrivateFrameworks/DuetActivityScheduler : 6
PrivateFrameworks/DuetRecommendation : 394
PrivateFrameworks/DynamicDesktop : 2
PrivateFrameworks/EAFirmwareUpdater : 92
PrivateFrameworks/EAP8021X : 1104
PrivateFrameworks/EFILogin : 226
PrivateFrameworks/EasyConfig : 593
PrivateFrameworks/EmbeddedAcousticRecognition : 137
PrivateFrameworks/EmbeddedOSInstall : 410
PrivateFrameworks/EmbeddedOSSupportHost : 161
PrivateFrameworks/EmbeddedSensingProtocols : 2641
PrivateFrameworks/EmojiFoundation : 500
PrivateFrameworks/Engram : 960
PrivateFrameworks/Espresso : 695
PrivateFrameworks/ExchangeSync : 601
PrivateFrameworks/ExchangeWebServices : 828
PrivateFrameworks/ExpansionSlotSupport : 396
PrivateFrameworks/ExtensionFoundation : 208
PrivateFrameworks/ExtensionKit : 208
PrivateFrameworks/FMClient : 10472
PrivateFrameworks/FMCore : 1803
PrivateFrameworks/FMCoreLite : 1806
PrivateFrameworks/FMCoreUI : 1153
PrivateFrameworks/FMF : 921
PrivateFrameworks/FMFCore : 117
PrivateFrameworks/FMFUI : 921
PrivateFrameworks/FMIPCore : 117
PrivateFrameworks/FMNetworking : 112
PrivateFrameworks/FTAWD : 960
PrivateFrameworks/FWAVC : 1658
PrivateFrameworks/FaceCore : 870
PrivateFrameworks/FamilyCircle : 468
PrivateFrameworks/FamilyCircleUI : 468
PrivateFrameworks/FamilyControls : 925
PrivateFrameworks/FamilyNotification : 468
PrivateFrameworks/FeatureFlags : 626
PrivateFrameworks/FeatureFlagsSupport : 626
PrivateFrameworks/FeedbackLogger : 86
PrivateFrameworks/FileProvider : 2
PrivateFrameworks/FilesActionsUI : 1537
PrivateFrameworks/FindMyDevice : 64
PrivateFrameworks/FindMyDeviceUI : 1420
PrivateFrameworks/FindMyMac : 386
PrivateFrameworks/FlightUtilities : 1020
PrivateFrameworks/FlightUtilitiesCore : 1020
PrivateFrameworks/FlowFrameKit : 86
PrivateFrameworks/FolderActionsKit : 823
PrivateFrameworks/FontServices : 840
PrivateFrameworks/FoundInAppsPlugins : 392
PrivateFrameworks/FoundationODR : 6
PrivateFrameworks/FrontBoardServices : 106
PrivateFrameworks/FuseBoard : 194
PrivateFrameworks/FuseBoardServices : 209
PrivateFrameworks/FusionPluginKit : 704
PrivateFrameworks/FusionPluginServices : 704
PrivateFrameworks/Futhark : 2603
PrivateFrameworks/GPUInfo : 76
PrivateFrameworks/GPURawCounter : 2034
PrivateFrameworks/GPUSupport : 13
PrivateFrameworks/GPUWrangler : 14
PrivateFrameworks/GameCenterFoundation : 64
PrivateFrameworks/GameCenterUI : 64
PrivateFrameworks/GameCenterUICore : 64
PrivateFrameworks/GameKitServices : 174
PrivateFrameworks/GenerationalStorage : 3529
PrivateFrameworks/GeoKit : 429
PrivateFrameworks/GeoServices : 189
PrivateFrameworks/GraphKit : 14465
PrivateFrameworks/GraphVisualizer : 5573
PrivateFrameworks/GraphicsServices : 5823
PrivateFrameworks/H10ISPServices : 286
PrivateFrameworks/H13ISPServices : 116
PrivateFrameworks/HDAInterface : 2231
PrivateFrameworks/HDRProcessing : 204
PrivateFrameworks/HIDPreferences : 9
PrivateFrameworks/HMFoundation : 913
PrivateFrameworks/HTTPServer : 843
PrivateFrameworks/HearingCore : 108
PrivateFrameworks/HearingUtilities : 108
PrivateFrameworks/HeimODAdmin : 299
PrivateFrameworks/Heimdal : 980
PrivateFrameworks/Helium : 859
PrivateFrameworks/HelloWorldMacHelper : 209
PrivateFrameworks/HelpData : 566
PrivateFrameworks/HomeAI : 259
PrivateFrameworks/HomeAutomationInternal : 77
PrivateFrameworks/HomeKitCore : 7
PrivateFrameworks/IAP : 2818
PrivateFrameworks/IASUtilities : 364
PrivateFrameworks/IMAVCore : 4830
PrivateFrameworks/IMFoundation : 960
PrivateFrameworks/IMTransferServices : 960
PrivateFrameworks/IOAccelMemoryInfo : 621
PrivateFrameworks/IOAccelerator : 621
PrivateFrameworks/IOCEC : 22565
PrivateFrameworks/IOGPU : 23
PrivateFrameworks/IOImageLoader : 3296
