PrivateFrameworks/iWorkXPC : 10
PrivateFrameworks/ktrace : 354
CoreServices/AddressBookUrlForwarder : 2398
CoreServices/AirPlayUIAgent : 405.13.81
CoreServices/Bluetooth Setup Assistant : 7.0.0d98
CoreServices/BluetoothUIServer : 7.0.0d98
CoreServices/ControlStrip : 199
CoreServices/CoreLocationAgent : 2384
CoreServices/CoreServicesUIAgent : 327
CoreServices/DiskImageMounter : 558
CoreServices/Dock : 2022
CoreServices/Dwell Control : 273
CoreServices/Finder : 1285.1
CoreServices/Install Command Line Developer Tools : 2367
CoreServices/Install in Progress : 968.2
CoreServices/Installer Progress : 536.1
CoreServices/Keychain Circle Notification : 59296.0.0.0.2
CoreServices/ManagedClient : 1243
CoreServices/NotificationCenter : 805.1
CoreServices/OBEXAgent : 7.0.0d98
CoreServices/Paired Devices : 180.10
CoreServices/Problem Reporter : 15005
CoreServices/RapportUIAgent : 180.10
CoreServices/Setup Assistant : 2462
CoreServices/Siri : 200.0.37
CoreServices/Software Update : 1274
CoreServices/Spotlight : 2050.1
CoreServices/TextInputMenuAgent : 242
CoreServices/TextInputSwitcher : 242
CoreServices/UIKitSystem : 173
CoreServices/UniversalAccessControl : 469
CoreServices/VoiceOver : 673
CoreServices/loginwindow : 1974
Applications/Feedback Assistant : 407
Applications/Network Utility : 158
Applications/Screen Sharing : 499.45
Frameworks/ContactsUI : 1036
Frameworks/MessageUI : 3566.0.1
Frameworks/MobileCoreServices : 1059.3
PrivateFrameworks/AppAnalytics : 15
PrivateFrameworks/BaseBoardUI : 452
PrivateFrameworks/DocumentManager : 156.1
PrivateFrameworks/DocumentManagerCore : 156.1
PrivateFrameworks/FrontBoard : 606
PrivateFrameworks/Home : 349
PrivateFrameworks/HomeUI : 349
PrivateFrameworks/NewsAnalytics : 2269
PrivateFrameworks/NewsArticles : 2269
PrivateFrameworks/NewsCore : 2269
PrivateFrameworks/NewsFeed : 2269
PrivateFrameworks/NewsFeedLayout : 2269
PrivateFrameworks/NewsFoundation : 2269
PrivateFrameworks/NewsServicesInternal : 2269
PrivateFrameworks/NewsSubscription : 2269
PrivateFrameworks/NewsTransport : 2269
PrivateFrameworks/NewsUI : 2269
PrivateFrameworks/NewsUI2 : 2269
PrivateFrameworks/Silex : 2269
PrivateFrameworks/TSReading : 313
PrivateFrameworks/TSUtility : 313
PrivateFrameworks/TeaActivities : 38
PrivateFrameworks/TeaCharts : 38
PrivateFrameworks/TeaDB : 38
PrivateFrameworks/TeaFoundation : 38
PrivateFrameworks/TeaSettings : 38
PrivateFrameworks/TeaTemplate : 38
PrivateFrameworks/TeaUI : 38
PrivateFrameworks/TeaUIKit : 38
PrivateFrameworks/UHASHelloExtensionPoint-iOS : 173
PrivateFrameworks/WebCore : 15608.1.34.1.1
PrivateFrameworks/WebKitLegacy : 15608.1.34.1.1
